"Date","Market","State","Market Size","Product Type","Product","Type","Sales","Profit","Margin","COGS","Total Expenses","Marketing","Inventory","Budget Profit","Budget Margin","Budget Sales","Budget COGS"
02/01/2002,"Central","Iowa","Small Market","Smoothie","Chocolate","Decaf",1659,564,1057,735,358,240,3790,645,758,1503,587
02/01/2002,"Central","Iowa","Small Market","Coffee","Columbian","Regular",198,17,105,86,88,25,3151,66,120,199,60
02/01/2002,"Central","Iowa","Small Market","Tea","Darjeeling","Regular",1413,471,762,747,280,210,4618,435,674,1134,552
02/01/2002,"Central","Iowa","Small Market","Espresso","Decaf Espresso","Decaf",128,101,123,0,33,0,2352,132,144,148,0
02/01/2002,"Central","Iowa","Small Market","Coffee","Decaf Irish Cream","Decaf",176,38,92,64,60,22,1830,57,87,156,62
02/01/2002,"Central","Iowa","Small Market","Tea","Earl Grey","Regular",1738,491,983,769,353,270,3902,475,851,1415,615
02/01/2002,"Central","Iowa","Small Market","Smoothie","Lemon","Decaf",812,275,494,293,155,111,1848,330,437,730,272
02/01/2002,"South","Louisiana","Small Market","Espresso","Caffe Latte","Regular",510,6,277,197,265,170,1072,28,243,406,159
02/01/2002,"South","Louisiana","Small Market","Espresso","Caffe Mocha","Regular",571,219,347,193,145,56,1211,223,254,477,151
02/01/2002,"South","Louisiana","Small Market","Smoothie","Chocolate","Decaf",354,101,186,154,92,49,1919,128,188,284,126
02/01/2002,"South","Louisiana","Small Market","Coffee","Columbian","Regular",314,113,170,122,68,31,2272,197,222,361,132
02/01/2002,"South","Louisiana","Small Market","Espresso","Decaf Espresso","Decaf",446,118,233,168,123,48,1109,148,196,329,122
02/01/2002,"South","Louisiana","Small Market","Coffee","Decaf Irish Cream","Decaf",392,137,219,138,78,38,2288,206,261,419,170
02/01/2002,"South","Louisiana","Small Market","Smoothie","Lemon","Decaf",635,119,320,272,203,93,1602,119,328,562,271
02/01/2002,"East","Massachusetts","Major Market","Espresso","Caffe Mocha","Regular",411,-12,250,159,227,161,1421,33,233,364,146
02/01/2002,"East","Massachusetts","Major Market","Coffee","Columbian","Regular",1448,1104,1268,212,175,70,801,1012,1188,1228,199
02/01/2002,"East","Massachusetts","Major Market","Tea","Darjeeling","Regular",224,83,157,104,60,24,2678,133,149,231,95
02/01/2002,"East","Massachusetts","Major Market","Tea","Green Tea","Regular",163,48,112,69,49,20,1370,102,113,187,59
02/01/2002,"East","Massachusetts","Major Market","Smoothie","Lemon","Decaf",379,56,226,181,158,74,999,87,188,327,122
02/01/2002,"East","Massachusetts","Major Market","Espresso","Regular Espresso","Regular",953,306,522,520,219,152,3329,329,519,973,491
02/01/2002,"Central","Missouri","Small Market","Smoothie","Chocolate","Decaf",306,-25,195,123,228,114,807,28,187,302,102
02/01/2002,"Central","Missouri","Small Market","Coffee","Columbian","Regular",558,138,324,243,184,104,1412,170,315,627,266
02/01/2002,"Central","Missouri","Small Market","Tea","Darjeeling","Regular",253,29,141,108,128,34,575,32,126,202,102
02/01/2002,"Central","Missouri","Small Market","Espresso","Decaf Espresso","Decaf",327,110,172,126,69,36,2337,177,270,342,130
02/01/2002,"Central","Missouri","Small Market","Coffee","Decaf Irish Cream","Decaf",524,141,272,216,144,71,3235,202,338,491,221
02/01/2002,"Central","Missouri","Small Market","Tea","Earl Grey","Regular",199,-21,115,97,134,33,467,-32,93,169,66
02/01/2002,"Central","Missouri","Small Market","Tea","Green Tea","Regular",233,-13,131,95,144,37,554,0,125,177,56
02/01/2002,"Central","Missouri","Small Market","Smoothie","Lemon","Decaf",341,-104,60,236,147,82,1868,-64,31,254,235
02/01/2002,"West","Nevada","Small Market","Espresso","Caffe Latte","Regular",129,96,132,0,39,0,2575,87,128,126,0
02/01/2002,"West","Nevada","Small Market","Espresso","Caffe Mocha","Regular",147,33,90,54,48,15,2779,66,94,125,28
02/01/2002,"West","Nevada","Small Market","Smoothie","Chocolate","Decaf",886,83,544,357,464,341,2168,127,425,786,285
02/01/2002,"Central","Missouri","Small Market","Espresso","Caffe Mocha","Regular",400,162,245,148,70,44,2661,207,282,421,142
02/01/2002,"West","Nevada","Small Market","Coffee","Columbian","Regular",248,-14,131,106,142,37,609,29,158,251,119
02/01/2002,"West","Nevada","Small Market","Tea","Darjeeling","Regular",1769,688,984,682,334,248,3993,421,704,1142,473
02/01/2002,"West","Nevada","Small Market","Espresso","Decaf Espresso","Decaf",152,33,90,65,55,15,2299,68,98,133,30
02/01/2002,"West","Nevada","Small Market","Coffee","Decaf Irish Cream","Decaf",211,17,112,91,86,27,2929,60,113,215,92
02/01/2002,"West","Nevada","Small Market","Tea","Earl Grey","Regular",1452,405,668,660,286,198,4775,305,504,1039,466
02/01/2002,"West","Nevada","Small Market","Tea","Green Tea","Regular",77,-1017,-673,790,425,296,5466,-661,-503,0,509
02/01/2002,"West","Nevada","Small Market","Smoothie","Lemon","Decaf",1169,343,663,491,309,136,2705,397,641,952,396
02/01/2002,"West","Nevada","Small Market","Smoothie","Blueberry","Decaf",795,281,470,322,161,97,1986,358,468,671,272
02/01/2002,"East","New Hampshire","Small Market","Coffee","Amaretto","Regular",288,72,185,138,114,44,680,132,200,279,84
02/01/2002,"East","New Hampshire","Small Market","Espresso","Caffe Mocha","Regular",333,-21,200,126,196,130,742,34,191,295,127
02/01/2002,"East","New Hampshire","Small Market","Coffee","Columbian","Regular",338,65,224,142,129,47,1073,87,171,340,115
02/01/2002,"East","New Hampshire","Small Market","Tea","Darjeeling","Regular",140,37,89,55,54,15,2342,58,90,128,30
02/01/2002,"East","New Hampshire","Small Market","Tea","Green Tea","Regular",139,105,138,0,35,0,2419,92,126,125,0
02/01/2002,"East","New Hampshire","Small Market","Smoothie","Lemon","Decaf",241,-12,138,95,128,37,586,0,97,153,58
02/01/2002,"East","New Hampshire","Small Market","Espresso","Regular Espresso","Regular",214,-20,115,91,142,37,555,0,116,190,64
02/01/2002,"South","New Mexico","Small Market","Espresso","Caffe Latte","Regular",226,-24,126,91,135,35,344,0,90,140,57
02/01/2002,"South","New Mexico","Small Market","Espresso","Caffe Mocha","Regular",354,-20,178,122,206,118,765,0,141,224,97
02/01/2002,"South","New Mexico","Small Market","Smoothie","Chocolate","Decaf",130,30,92,53,52,17,2313,58,98,132,29
02/01/2002,"South","New Mexico","Small Market","Coffee","Columbian","Regular",324,69,228,133,138,41,1028,159,278,416,153
02/01/2002,"South","New Mexico","Small Market","Espresso","Decaf Espresso","Decaf",241,25,151,101,122,36,607,34,135,197,89
02/01/2002,"South","New Mexico","Small Market","Coffee","Decaf Irish Cream","Decaf",287,-102,59,244,145,79,1847,-58,60,342,294
02/01/2002,"South","New Mexico","Small Market","Smoothie","Lemon","Decaf",208,16,113,92,98,23,2831,63,136,173,61
02/01/2002,"East","New York","Major Market","Espresso","Caffe Mocha","Regular",207,-661,-194,338,414,366,2982,-616,-192,161,327
02/01/2002,"East","New York","Major Market","Coffee","Columbian","Regular",2193,689,1122,822,398,255,6138,766,1133,1878,731
02/01/2002,"East","New York","Major Market","Tea","Darjeeling","Regular",722,328,465,289,104,83,2359,337,498,739,315
02/01/2002,"East","New York","Major Market","Tea","Earl Grey","Regular",682,312,441,286,133,83,2364,441,488,772,292
02/01/2002,"East","New York","Major Market","Tea","Green Tea","Regular",562,259,330,229,111,63,1390,290,381,558,247
02/01/2002,"East","New York","Major Market","Smoothie","Lemon","Decaf",1431,402,844,703,379,273,4731,336,651,1066,532
02/01/2002,"East","New York","Major Market","Smoothie","Blueberry","Decaf",521,-358,-106,691,249,198,3969,-243,-57,462,474
02/01/2002,"East","New York","Major Market","Espresso","Regular Espresso","Regular",1647,794,1115,646,253,177,4607,856,1011,1706,637
02/01/2002,"Central","Ohio","Major Market","Coffee","Amaretto","Regular",430,95,240,182,154,56,1038,152,228,421,182
02/01/2002,"Central","Ohio","Major Market","Espresso","Caffe Mocha","Regular",1080,293,484,560,214,144,3581,406,637,1131,604
02/01/2002,"Central","Ohio","Major Market","Smoothie","Chocolate","Decaf",163,57,112,63,55,20,1470,99,97,129,33
02/01/2002,"Central","Ohio","Major Market","Coffee","Columbian","Regular",369,124,245,162,119,48,1041,161,262,375,168
02/01/2002,"Central","Ohio","Major Market","Tea","Darjeeling","Regular",655,174,372,268,197,85,1945,184,346,530,172
02/01/2002,"Central","Ohio","Major Market","Espresso","Decaf Espresso","Decaf",371,61,224,167,182,69,1071,132,283,449,190
02/01/2002,"Central","Ohio","Major Market","Coffee","Decaf Irish Cream","Decaf",416,-9,252,175,229,163,1381,64,258,397,143
02/01/2002,"Central","Ohio","Major Market","Tea","Earl Grey","Regular",593,225,398,254,167,79,1548,220,352,545,223
02/01/2002,"Central","Ohio","Major Market","Smoothie","Lemon","Decaf",242,88,148,96,65,27,2489,143,140,210,59
02/01/2002,"South","Oklahoma","Small Market","Espresso","Caffe Latte","Regular",575,200,372,270,153,74,992,214,315,543,219
02/01/2002,"South","Oklahoma","Small Market","Espresso","Caffe Mocha","Regular",173,57,107,73,56,20,1427,87,85,117,32
02/01/2002,"South","Oklahoma","Small Market","Smoothie","Chocolate","Decaf",394,32,193,158,155,60,969,65,191,310,151
02/01/2002,"South","Oklahoma","Small Market","Coffee","Columbian","Regular",319,82,173,129,83,44,1850,143,237,346,146
02/01/2002,"South","Oklahoma","Small Market","Espresso","Decaf Espresso","Decaf",672,199,367,238,176,76,2010,221,307,507,171
02/01/2002,"South","Oklahoma","Small Market","Coffee","Decaf Irish Cream","Decaf",260,93,146,97,54,27,2378,169,201,297,128
02/01/2002,"South","Oklahoma","Small Market","Smoothie","Lemon","Decaf",699,44,435,291,332,282,1678,128,377,653,251
02/01/2002,"West","Oregon","Small Market","Coffee","Amaretto","Regular",375,-14,240,174,221,167,1415,116,317,448,188
02/01/2002,"West","Oregon","Small Market","Espresso","Caffe Latte","Regular",440,58,236,177,168,72,1117,65,228,345,149
02/01/2002,"West","Oregon","Small Market","Espresso","Caffe Mocha","Regular",453,93,245,182,153,55,1006,154,267,439,155
02/01/2002,"West","Oregon","Small Market","Smoothie","Chocolate","Decaf",239,83,157,108,57,27,2281,166,164,208,57
02/01/2002,"West","Oregon","Small Market","Coffee","Columbian","Regular",441,83,260,203,196,65,1183,147,314,571,261
02/01/2002,"West","Oregon","Small Market","Tea","Darjeeling","Regular",169,54,106,63,52,20,1357,60,64,91,33
02/01/2002,"West","Oregon","Small Market","Espresso","Decaf Espresso","Decaf",1064,282,480,496,199,133,3281,292,489,995,502
02/01/2002,"West","Oregon","Small Market","Coffee","Decaf Irish Cream","Decaf",406,120,219,175,109,52,1090,233,293,471,203
02/01/2002,"West","Oregon","Small Market","Tea","Earl Grey","Regular",634,189,399,230,189,75,1863,162,245,436,155
02/01/2002,"West","Oregon","Small Market","Tea","Green Tea","Regular",615,220,406,286,160,80,1491,191,296,432,147
02/01/2002,"West","Oregon","Small Market","Smoothie","Lemon","Decaf",311,92,176,141,83,42,1790,93,150,261,88
02/01/2002,"South","Texas","Major Market","Espresso","Caffe Latte","Regular",553,173,341,223,166,82,1252,188,320,523,197
02/01/2002,"South","Texas","Major Market","Espresso","Caffe Mocha","Regular",779,340,441,315,111,82,2242,329,406,608,258
02/01/2002,"South","Texas","Major Market","Smoothie","Chocolate","Decaf",422,95,253,175,145,56,1037,143,273,396,145
02/01/2002,"South","Texas","Major Market","Coffee","Columbian","Regular",1551,465,776,625,291,186,2897,770,914,1771,883
02/01/2002,"South","Texas","Major Market","Espresso","Decaf Espresso","Decaf",537,227,365,220,93,66,1482,301,283,489,204
02/01/2002,"South","Texas","Major Market","Coffee","Decaf Irish Cream","Decaf",533,213,317,235,121,79,1796,286,440,754,324
02/01/2002,"South","Texas","Major Market","Smoothie","Lemon","Decaf",367,112,242,160,108,53,1195,160,224,383,115
02/01/2002,"West","Utah","Small Market","Coffee","Amaretto","Regular",487,140,251,228,137,69,2693,200,315,567,253
02/01/2002,"West","Utah","Small Market","Espresso","Caffe Latte","Regular",333,115,191,122,77,32,2233,98,170,272,126
02/01/2002,"West","Utah","Small Market","Espresso","Caffe Mocha","Regular",377,110,190,151,83,49,2081,130,174,289,124
02/01/2002,"West","Utah","Small Market","Smoothie","Chocolate","Decaf",340,73,174,123,122,41,703,91,153,244,92
02/01/2002,"West","Utah","Small Market","Coffee","Columbian","Regular",418,93,223,155,146,51,1007,230,282,515,179
02/01/2002,"West","Utah","Small Market","Tea","Darjeeling","Regular",336,-23,177,122,208,128,772,30,167,227,61
02/01/2002,"West","Utah","Small Market","Espresso","Decaf Espresso","Decaf",353,157,236,162,83,43,2420,155,229,317,127
02/01/2002,"West","Utah","Small Market","Coffee","Decaf Irish Cream","Decaf",584,132,339,269,194,90,1422,269,434,789,316
02/01/2002,"West","Utah","Small Market","Tea","Earl Grey","Regular",249,28,154,106,112,32,559,29,84,142,63
02/01/2002,"West","Utah","Small Market","Tea","Green Tea","Regular",207,-20,129,91,134,36,546,32,89,133,31
02/01/2002,"West","Utah","Small Market","Smoothie","Lemon","Decaf",340,72,198,148,137,45,1171,115,211,323,99
02/01/2002,"West","Utah","Small Market","Smoothie","Blueberry","Decaf",311,-88,53,252,146,76,1901,-87,29,247,219
02/01/2002,"West","Washington","Small Market","Espresso","Caffe Latte","Regular",325,108,195,148,92,42,2021,127,179,281,128
02/01/2002,"West","Washington","Small Market","Espresso","Caffe Mocha","Regular",376,41,186,180,152,59,1005,63,189,368,165
02/01/2002,"West","Washington","Small Market","Smoothie","Chocolate","Decaf",962,373,581,408,231,139,2775,394,495,887,338
02/01/2002,"West","Washington","Small Market","Coffee","Columbian","Regular",408,133,269,163,115,53,965,224,335,513,218
02/01/2002,"West","Washington","Small Market","Tea","Darjeeling","Regular",584,204,360,202,144,59,1202,113,205,319,130
02/01/2002,"West","Washington","Small Market","Espresso","Decaf Espresso","Decaf",468,117,283,219,136,70,3106,181,268,457,202
02/01/2002,"West","Washington","Small Market","Coffee","Decaf Irish Cream","Decaf",703,49,362,312,344,238,1583,175,511,878,370
02/01/2002,"West","Washington","Small Market","Tea","Earl Grey","Regular",436,135,263,159,133,55,1078,136,170,262,99
02/01/2002,"West","Washington","Small Market","Tea","Green Tea","Regular",497,10,270,199,249,190,1698,31,199,335,135
02/01/2002,"West","Washington","Small Market","Smoothie","Lemon","Decaf",291,106,158,108,64,31,2632,141,144,242,90
02/01/2002,"Central","Wisconsin","Small Market","Coffee","Amaretto","Regular",380,35,184,167,173,59,994,86,213,339,155
02/01/2002,"Central","Wisconsin","Small Market","Espresso","Caffe Mocha","Regular",498,126,235,211,121,70,2866,174,324,509,250
02/01/2002,"Central","Wisconsin","Small Market","Smoothie","Chocolate","Decaf",587,189,312,195,137,57,1067,234,325,481,167
02/01/2002,"Central","Wisconsin","Small Market","Coffee","Columbian","Regular",707,44,382,257,316,252,1594,120,460,657,261
02/01/2002,"Central","Wisconsin","Small Market","Tea","Darjeeling","Regular",453,134,234,173,131,54,1182,159,225,370,126
02/01/2002,"Central","Wisconsin","Small Market","Espresso","Decaf Espresso","Decaf",353,107,205,143,87,44,1787,159,227,356,147
02/01/2002,"Central","Wisconsin","Small Market","Coffee","Decaf Irish Cream","Decaf",571,165,320,246,152,73,1193,192,340,577,230
02/01/2002,"Central","Wisconsin","Small Market","Tea","Earl Grey","Regular",445,9,252,185,281,181,1595,28,272,403,157
02/01/2002,"Central","Wisconsin","Small Market","Smoothie","Lemon","Decaf",376,143,201,140,80,44,2356,164,198,335,135
01/01/2002,"West","California","Major Market","Coffee","Amaretto","Regular",438,-6,157,300,175,102,1775,98,208,549,374
01/01/2002,"West","California","Major Market","Espresso","Caffe Latte","Regular",1377,443,662,659,295,179,4805,494,636,1400,633
01/01/2002,"West","California","Major Market","Espresso","Caffe Mocha","Regular",736,53,416,311,371,291,2217,67,444,691,330
01/01/2002,"West","California","Major Market","Smoothie","Chocolate","Decaf",671,345,456,274,121,86,2357,327,343,568,230
01/01/2002,"West","California","Major Market","Coffee","Columbian","Regular",2207,772,1296,903,424,266,6702,1047,1417,2785,959
01/01/2002,"West","California","Major Market","Tea","Darjeeling","Regular",723,265,379,303,109,77,2629,248,301,412,163
01/01/2002,"West","California","Major Market","Espresso","Decaf Espresso","Decaf",1707,651,914,709,339,253,4091,675,929,1635,707
01/01/2002,"West","California","Major Market","Coffee","Decaf Irish Cream","Decaf",348,-370,-87,418,262,148,2610,-366,-136,440,530
01/01/2002,"West","California","Major Market","Tea","Earl Grey","Regular",423,171,268,179,76,50,1526,171,191,298,89
01/01/2002,"West","California","Major Market","Tea","Green Tea","Regular",522,183,355,232,155,76,1623,150,229,365,136
01/01/2002,"West","California","Major Market","Smoothie","Lemon","Decaf",1397,545,809,579,239,214,3081,530,743,1309,488
01/01/2002,"West","California","Major Market","Smoothie","Blueberry","Decaf",561,204,349,280,116,80,1869,188,264,467,211
01/01/2002,"Central","Colorado","Major Market","Coffee","Amaretto","Regular",655,310,393,288,107,78,2486,336,435,649,273
01/01/2002,"Central","Colorado","Major Market","Espresso","Caffe Mocha","Regular",402,165,255,157,78,45,1481,220,293,450,204
01/01/2002,"Central","Colorado","Major Market","Smoothie","Chocolate","Decaf",957,286,494,487,235,137,3072,334,457,951,477
01/01/2002,"Central","Colorado","Major Market","Coffee","Columbian","Regular",559,201,314,279,109,82,2115,229,309,605,248
01/01/2002,"Central","Colorado","Major Market","Tea","Darjeeling","Regular",374,54,212,190,178,68,956,67,233,312,120
01/01/2002,"Central","Colorado","Major Market","Espresso","Decaf Espresso","Decaf",544,150,365,239,158,71,1582,270,370,695,238
01/01/2002,"Central","Colorado","Major Market","Coffee","Decaf Irish Cream","Decaf",721,307,453,266,119,75,2432,333,460,670,324
01/01/2002,"Central","Colorado","Major Market","Tea","Earl Grey","Regular",426,109,241,186,120,55,2905,131,224,338,165
01/01/2002,"Central","Colorado","Major Market","Tea","Green Tea","Regular",328,101,168,141,79,40,1827,102,159,251,89
01/01/2002,"Central","Colorado","Major Market","Smoothie","Lemon","Decaf",444,0,294,206,262,189,1332,58,246,404,146
01/01/2002,"Central","Colorado","Major Market","Smoothie","Blueberry","Decaf",421,103,266,202,137,61,985,114,233,391,157
01/01/2002,"East","Connecticut","Small Market","Espresso","Caffe Mocha","Regular",524,21,338,227,275,229,1574,66,315,556,223
01/01/2002,"East","Connecticut","Small Market","Coffee","Columbian","Regular",925,362,522,371,215,136,3235,437,587,830,320
01/01/2002,"East","Connecticut","Small Market","Tea","Darjeeling","Regular",363,148,230,162,84,43,2535,174,264,392,156
01/01/2002,"East","Connecticut","Small Market","Espresso","Decaf Espresso","Decaf",417,89,222,178,152,52,975,124,224,366,166
01/01/2002,"East","Connecticut","Small Market","Tea","Green Tea","Regular",293,106,167,126,71,29,2261,123,168,339,120
01/01/2002,"East","Connecticut","Small Market","Smoothie","Lemon","Decaf",553,133,323,269,213,100,1426,135,246,458,191
01/01/2002,"East","Connecticut","Small Market","Smoothie","Blueberry","Decaf",512,135,290,259,129,69,2987,151,225,442,151
01/01/2002,"East","Florida","Major Market","Espresso","Caffe Mocha","Regular",549,28,378,266,328,219,1672,102,342,520,225
01/01/2002,"East","Florida","Major Market","Smoothie","Chocolate","Decaf",336,107,193,151,90,42,1986,90,142,235,102
01/01/2002,"East","Florida","Major Market","Coffee","Columbian","Regular",638,200,368,245,174,88,2088,209,349,585,266
01/01/2002,"East","Florida","Major Market","Tea","Darjeeling","Regular",257,94,145,108,61,27,2447,121,149,239,99
01/01/2002,"East","Florida","Major Market","Espresso","Decaf Espresso","Decaf",593,145,302,234,153,74,1455,191,311,564,229
01/01/2002,"East","Florida","Major Market","Coffee","Decaf Irish Cream","Decaf",589,203,347,286,138,88,1581,232,373,546,253
01/01/2002,"East","Florida","Major Market","Tea","Green Tea","Regular",257,93,161,99,60,29,2431,115,163,270,93
01/01/2002,"East","Florida","Major Market","Smoothie","Lemon","Decaf",348,42,200,171,167,59,956,67,155,277,131
01/01/2002,"East","Florida","Major Market","Smoothie","Blueberry","Decaf",450,128,235,229,139,67,2973,113,188,336,165
01/01/2002,"Central","Illinois","Major Market","Espresso","Caffe Mocha","Regular",1609,668,885,744,360,261,4233,845,1232,2082,796
01/01/2002,"Central","Illinois","Major Market","Smoothie","Chocolate","Decaf",660,296,404,269,103,80,2349,335,377,610,225
01/01/2002,"Central","Illinois","Major Market","Coffee","Columbian","Regular",1025,326,675,491,272,139,2699,419,610,1051,420
01/01/2002,"Central","Illinois","Major Market","Tea","Darjeeling","Regular",395,176,230,155,84,48,1500,165,216,357,132
01/01/2002,"Central","Illinois","Major Market","Espresso","Decaf Espresso","Decaf",1310,429,728,663,246,212,4150,515,821,1794,865
01/01/2002,"Central","Illinois","Major Market","Coffee","Decaf Irish Cream","Decaf",779,264,438,318,169,84,1936,281,427,703,287
01/01/2002,"Central","Illinois","Major Market","Tea","Earl Grey","Regular",504,165,318,215,163,77,1660,131,291,460,196
01/01/2002,"Central","Illinois","Major Market","Smoothie","Lemon","Decaf",638,229,351,238,114,84,1975,190,304,486,220
01/01/2002,"Central","Illinois","Major Market","Smoothie","Blueberry","Decaf",731,335,472,279,127,87,2300,325,351,681,246
01/01/2002,"Central","Iowa","Small Market","Coffee","Amaretto","Regular",129,32,89,51,50,17,2509,62,96,115,34
01/01/2002,"Central","Iowa","Small Market","Espresso","Caffe Mocha","Regular",131,32,86,49,50,13,2568,91,119,158,30
01/01/2002,"Central","Iowa","Small Market","Smoothie","Chocolate","Decaf",1786,638,1029,731,373,261,3981,602,835,1477,637
01/01/2002,"Central","Iowa","Small Market","Coffee","Columbian","Regular",183,17,104,82,98,26,3028,66,119,199,68
